,0,1
0,32,0.0
1,96,0.011
2,46,0.022
3,45,0.034
4,44,0.045
5,39,0.056
6,58,0.067
7,95,0.079
8,126,0.09
9,34,0.101
10,59,0.112
11,33,0.124
12,42,0.135
13,124,0.146
14,43,0.157
15,60,0.169
16,47,0.18
17,61,0.191
18,94,0.202
19,105,0.213
20,114,0.225
21,76,0.236
22,108,0.247
23,74,0.258
24,118,0.27
25,99,0.281
26,40,0.292
27,84,0.303
28,63,0.315
29,89,0.326
30,55,0.337
31,116,0.348
32,123,0.36
33,115,0.371
34,70,0.382
35,91,0.393
36,120,0.404
37,73,0.416
38,122,0.427
39,49,0.438
40,67,0.449
41,121,0.461
42,86,0.472
43,106,0.483
44,53,0.494
45,51,0.506
46,50,0.517
47,102,0.528
48,110,0.539
49,117,0.551
50,88,0.562
51,90,0.573
52,85,0.584
53,83,0.596
54,80,0.607
55,65,0.618
56,75,0.629
57,111,0.64
58,52,0.652
59,97,0.663
60,101,0.674
61,69,0.685
62,107,0.697
63,72,0.708
64,119,0.719
65,71,0.73
66,104,0.742
67,79,0.753
68,36,0.764
69,82,0.775
70,68,0.787
71,109,0.798
72,113,0.809
73,37,0.82
74,78,0.831
75,112,0.843
76,35,0.854
77,48,0.865
78,57,0.876
79,54,0.888
80,98,0.899
81,100,0.91
82,77,0.921
83,66,0.933
84,87,0.944
85,81,0.955
86,56,0.966
87,103,0.978
88,64,0.989
89,38,1.0
